artistName,kind,primaryGenreName,trackName
One Direction,song,Pop,Kiss You
Brad Paisley,song,Country,She's Everything
The Chainsmokers,song,Dance,Closer (feat. Halsey)
Hugh Jackman & The Greatest Showman Ensemble,song,Soundtrack,From Now On
Tim McGraw,song,Country,Don't Take the Girl
Hugh Jackman & Zac Efron,song,Soundtrack,The Other Side
Fleetwood Mac,song,Rock,Dreams
Journey,song,Rock,Girl Can't Help It (2024 Remaster)
Ed Sheeran,song,Pop,Kiss Me
Hot Chelle Rae,song,Pop,I Like It Like That (feat. New Boyz)
One Direction,song,Pop,Midnight Memories
Train,song,Pop,If It's Love
Fort Minor,song,Hip-Hop/Rap,Where'd You Go (feat. Holly Brook & Jonah Matranga)
Survivor,song,Rock,Eye of the Tiger
Jason Derulo,song,Pop,Whatcha Say
Michael Jackson,song,Pop,Human Nature
Skrillex,song,Dance,Kyoto (feat. Sirah)
"Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of ""Hamilton""",song,Musicals,Alexander Hamilton
Carrie Underwood,song,Pop,"Jesus, Take the Wheel"
twenty one pilots,song,Alternative,Car Radio
Blake Shelton,song,Country,Doin' What She Likes
Journey,song,Rock,Be Good to Yourself (2024 Remaster)
Gym Class Heroes,song,Pop,The Fighter (feat. Ryan Tedder)
B.o.B,song,Hip-Hop/Rap,Nothin' On You (feat. Bruno Mars)
Panic! At the Disco,song,Alternative,High Hopes
Regina Spektor,song,Alternative,Fidelity
Nickelback,song,Rock,Something In Your Mouth
P!nk,song,Pop,Funhouse
DRAM,song,Hip-Hop/Rap,Broccoli (feat. Lil Yachty)
Journey,song,Rock,Ask the Lonely (2024 Remaster)
Tim McGraw,song,Country,Felt Good On My Lips
"Macklemore & Ryan Lewis, Macklemore & Ryan Lewis",song,Hip-Hop/Rap,Wing$
"Hugh Jackman, Keala Settle, Daniel Everidge, Zendaya & The Greatest Showman Ensemble",song,Soundtrack,Come Alive
Hillsong UNITED,song,Christian,Oceans (Where Feet May Fail)
Christina Perri,song,Pop,Jar of Hearts
Coldplay,song,Alternative,Hymn for the Weekend
Ed Sheeran,song,Pop,Galway Girl
Snoop Dogg & Wiz Khalifa,song,Soundtrack,"Young, Wild & Free (feat. Bruno Mars)"
Blake Shelton,song,Country,My Eyes (feat. Gwen Sebastian)
Sean Kingston,song,Pop,Letting Go (Dutty Love) [feat. Nicki Minaj]
Andra Day,song,R&B/Soul,Rise Up
Kelly Clarkson,song,Pop,Since U Been Gone
DragonForce,song,Metal,Through the Fire and Flames
The Script,song,Pop,Nothing
Blake Shelton,song,Country,Sangria
Michael Jackson,song,Pop,Wanna Be Startin' Somethin'
The Sugarhill Gang,song,Hip-Hop/Rap,"Rapper's Delight (7"" Single Version)"
Faith Hill & Tim McGraw,song,Country,It's Your Love
Lil Mama,song,Hip-Hop/Rap,Lip Gloss
Toby Keith,song,Country,Don't Let the Old Man In
LINKIN PARK,song,Hard Rock,In the End
Cole Swindell,song,Country,Hope You Get Lonely Tonight
Ed Sheeran,song,Pop,One
Outasight,song,Pop,Tonight Is the Night
